id	pop	sex	FatherId	MotherId	Fitness0	Hybridindex	Pref0	Pref1	Sex	Signal0	
48298	1	1	46250	46153	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48299	1	1	46006	46153	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48300	1	1	46192	45919	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48301	1	1	46128	45919	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48302	1	1	45932	45919	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48303	1	1	46108	45968	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48304	1	1	46280	46252	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48305	1	1	46167	46252	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48306	1	1	46268	46252	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48309	1	1	46260	46012	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48310	1	1	45957	45886	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48311	1	1	45879	46251	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48315	1	1	45847	46100	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48316	1	1	46186	46100	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48318	1	1	45946	46100	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48324	1	1	46286	46276	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48325	1	1	45962	46276	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48328	1	1	46233	46166	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48329	1	1	46022	46166	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48330	1	1	46059	46293	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48331	1	1	46185	46293	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48335	1	1	46125	45876	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48340	1	1	46084	46096	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48342	1	1	45959	45901	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
48351	1	1	45825	46154	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
