1	Fitness0	11[0]	11[0]	11[0]
1	Hybridindex	20[0]	20[0]	20[0]
1	Pref0	1[0]	1[0]	1[0]
1	Pref1	1[0]	1[0]	1[0]
1	Sex	0.492157[0.499938]	1[0]	0[0]
1	Signal0	1[0]	1[0]	1[0]
2	Fitness0	0[0]	0[0]	0[0]
2	Hybridindex	0[0]	0[0]	0[0]
2	Pref0	0[0]	0[0]	0[0]
2	Pref1	0[0]	0[0]	0[0]
2	Sex	0[0]	0[0]	0[0]
2	Signal0	0[0]	0[0]	0[0]
3	Fitness0	9.61425[2.27191]	9.59055[2.30385]	9.63819[2.23893]
3	Hybridindex	16.6548[1.33142]	16.6269[1.32469]	16.6829[1.33759]
3	Pref0	0.83375[0.267369]	0.836816[0.263421]	0.830653[0.271262]
3	Pref1	0.867[0.237299]	0.861692[0.243881]	0.872362[0.230337]
3	Sex	0.5025[0.499994]	1[0]	0[0]
3	Signal0	1[0]	1[0]	1[0]
