1	Fitness0	11[0]	11[0]	11[0]
1	Hybridindex	20[0]	20[0]	20[0]
1	Pref0	1[0]	1[0]	1[0]
1	Pref1	1[0]	1[0]	1[0]
1	Sex	0.496078[0.499985]	1[0]	0[0]
1	Signal0	1[0]	1[0]	1[0]
2	Fitness0	0[0]	0[0]	0[0]
2	Hybridindex	0[0]	0[0]	0[0]
2	Pref0	0[0]	0[0]	0[0]
2	Pref1	0[0]	0[0]	0[0]
2	Sex	0[0]	0[0]	0[0]
2	Signal0	0[0]	0[0]	0[0]
3	Fitness0	9.64575[2.30383]	9.68926[2.27227]	9.60259[2.33391]
3	Hybridindex	16.454[1.35255]	16.4262[1.34408]	16.4816[1.36033]
3	Pref0	0.8515[0.249395]	0.85241[0.242982]	0.850598[0.255594]
3	Pref1	0.869[0.236831]	0.86496[0.241496]	0.873008[0.232041]
3	Sex	0.498[0.499996]	1[0]	0[0]
3	Signal0	1[0]	1[0]	1[0]
