1	Fitness0	11[0]	11[0]	11[0]
1	Hybridindex	20[0]	20[0]	20[0]
1	Pref0	1[0]	1[0]	1[0]
1	Pref1	1[0]	1[0]	1[0]
1	Sex	0.47451[0.49935]	1[0]	0[0]
1	Signal0	1[0]	1[0]	1[0]
2	Fitness0	0[0]	0[0]	0[0]
2	Hybridindex	0[0]	0[0]	0[0]
2	Pref0	0[0]	0[0]	0[0]
2	Pref1	0[0]	0[0]	0[0]
2	Sex	0[0]	0[0]	0[0]
2	Signal0	0[0]	0[0]	0[0]
3	Fitness0	9.7355[2.16628]	9.75297[2.15354]	9.71768[2.17906]
3	Hybridindex	16.5622[1.33875]	16.5921[1.35282]	16.5318[1.32354]
3	Pref0	0.83[0.264764]	0.829208[0.270292]	0.830808[0.259]
3	Pref1	0.866[0.239362]	0.866337[0.238509]	0.865657[0.240228]
3	Sex	0.505[0.499975]	1[0]	0[0]
3	Signal0	1[0]	1[0]	1[0]
