1	Fitness0	11[0]	11[0]	11[0]
1	Hybridindex	20[0]	20[0]	20[0]
1	Pref0	1[0]	1[0]	1[0]
1	Pref1	1[0]	1[0]	1[0]
1	Sex	0.5[0.5]	1[0]	0[0]
1	Signal0	1[0]	1[0]	1[0]
2	Fitness0	0[0]	0[0]	0[0]
2	Hybridindex	0[0]	0[0]	0[0]
2	Pref0	0[0]	0[0]	0[0]
2	Pref1	0[0]	0[0]	0[0]
2	Sex	0[0]	0[0]	0[0]
2	Signal0	0[0]	0[0]	0[0]
3	Fitness0	9.504[2.40665]	9.51508[2.45197]	9.49228[2.35772]
3	Hybridindex	16.3708[1.35634]	16.3721[1.37371]	16.3693[1.33773]
3	Pref0	0.86225[0.243208]	0.861381[0.241584]	0.863169[0.24491]
3	Pref1	0.8865[0.221061]	0.888619[0.219428]	0.884259[0.222752]
3	Sex	0.514[0.499804]	1[0]	0[0]
3	Signal0	1[0]	1[0]	1[0]
