1	Fitness0	11[0]	11[0]	11[0]
1	Hybridindex	20[0]	20[0]	20[0]
1	Pref0	1[0]	1[0]	1[0]
1	Pref1	1[0]	1[0]	1[0]
1	Sex	0.517647[0.499688]	1[0]	0[0]
1	Signal0	1[0]	1[0]	1[0]
2	Fitness0	0[0]	0[0]	0[0]
2	Hybridindex	0[0]	0[0]	0[0]
2	Pref0	0[0]	0[0]	0[0]
2	Pref1	0[0]	0[0]	0[0]
2	Sex	0[0]	0[0]	0[0]
2	Signal0	0[0]	0[0]	0[0]
3	Fitness0	9.67975[2.24194]	9.63632[2.30689]	9.72559[2.17035]
3	Hybridindex	16.6522[1.236]	16.6315[1.28441]	16.6742[1.18236]
3	Pref0	0.8735[0.23558]	0.868549[0.239185]	0.878726[0.231598]
3	Pref1	0.89825[0.212184]	0.889484[0.221103]	0.907503[0.201931]
3	Sex	0.5135[0.499818]	1[0]	0[0]
3	Signal0	1[0]	1[0]	1[0]
