1	Fitness0	11[0]	11[0]	11[0]
1	Hybridindex	20[0]	20[0]	20[0]
1	Pref0	1[0]	1[0]	1[0]
1	Pref1	1[0]	1[0]	1[0]
1	Sex	0.480392[0.499615]	1[0]	0[0]
1	Signal0	1[0]	1[0]	1[0]
2	Fitness0	0[0]	0[0]	0[0]
2	Hybridindex	0[0]	0[0]	0[0]
2	Pref0	0[0]	0[0]	0[0]
2	Pref1	0[0]	0[0]	0[0]
2	Sex	0[0]	0[0]	0[0]
2	Signal0	0[0]	0[0]	0[0]
3	Fitness0	9.80775[2.12289]	9.8199[2.10824]	9.79548[2.13752]
3	Hybridindex	16.4217[1.35601]	16.4358[1.34409]	16.4075[1.36779]
3	Pref0	0.86625[0.242355]	0.865174[0.242255]	0.867337[0.242451]
3	Pref1	0.85675[0.250209]	0.862687[0.245458]	0.850754[0.254777]
3	Sex	0.5025[0.499994]	1[0]	0[0]
3	Signal0	1[0]	1[0]	1[0]
