1	Fitness0	11[0]	11[0]	11[0]
1	Hybridindex	20[0]	20[0]	20[0]
1	Pref0	1[0]	1[0]	1[0]
1	Pref1	1[0]	1[0]	1[0]
1	Sex	0.507843[0.499938]	1[0]	0[0]
1	Signal0	1[0]	1[0]	1[0]
2	Fitness0	0[0]	0[0]	0[0]
2	Hybridindex	0[0]	0[0]	0[0]
2	Pref0	0[0]	0[0]	0[0]
2	Pref1	0[0]	0[0]	0[0]
2	Sex	0[0]	0[0]	0[0]
2	Signal0	0[0]	0[0]	0[0]
3	Fitness0	8.3555[3.13363]	8.43216[3.07718]	8.2796[3.18672]
3	Hybridindex	15.2922[3.98763]	15.3573[3.98461]	15.2279[3.98958]
3	Pref0	0.7695[0.305973]	0.770352[0.303705]	0.768657[0.308201]
3	Pref1	0.756[0.306535]	0.766332[0.297261]	0.745771[0.315116]
3	Sex	0.4975[0.499994]	1[0]	0[0]
3	Signal0	0.82025[0.281185]	0.821106[0.278468]	0.819403[0.283846]
