1	Fitness0	11[0]	11[0]	11[0]
1	Hybridindex	20[0]	20[0]	20[0]
1	Pref0	1[0]	1[0]	1[0]
1	Pref1	1[0]	1[0]	1[0]
1	Sex	0.460784[0.49846]	1[0]	0[0]
1	Signal0	1[0]	1[0]	1[0]
2	Fitness0	0[0]	0[0]	0[0]
2	Hybridindex	0[0]	0[0]	0[0]
2	Pref0	0[0]	0[0]	0[0]
2	Pref1	0[0]	0[0]	0[0]
2	Sex	0[0]	0[0]	0[0]
2	Signal0	0[0]	0[0]	0[0]
3	Fitness0	9.60625[2.29665]	9.62293[2.2885]	9.59073[2.30409]
3	Hybridindex	16.4935[1.34943]	16.4746[1.37389]	16.5111[1.32602]
3	Pref0	0.8555[0.249238]	0.852697[0.251722]	0.858108[0.246876]
3	Pref1	0.852[0.251686]	0.852178[0.249866]	0.851834[0.253368]
3	Sex	0.482[0.499676]	1[0]	0[0]
3	Signal0	1[0]	1[0]	1[0]
