1	Fitness0	11[0]	11[0]	11[0]
1	Hybridindex	20[0]	20[0]	20[0]
1	Pref0	1[0]	1[0]	1[0]
1	Pref1	1[0]	1[0]	1[0]
1	Sex	0.511765[0.499862]	1[0]	0[0]
1	Signal0	1[0]	1[0]	1[0]
2	Fitness0	0[0]	0[0]	0[0]
2	Hybridindex	0[0]	0[0]	0[0]
2	Pref0	0[0]	0[0]	0[0]
2	Pref1	0[0]	0[0]	0[0]
2	Sex	0[0]	0[0]	0[0]
2	Signal0	0[0]	0[0]	0[0]
3	Fitness0	9.26[2.55419]	9.24207[2.53451]	9.27713[2.57273]
3	Hybridindex	16.7398[1.54326]	16.7584[1.5423]	16.7219[1.54396]
3	Pref0	0.8365[0.261281]	0.828557[0.266777]	0.844086[0.255691]
3	Pref1	0.822[0.268451]	0.833163[0.262469]	0.811339[0.273617]
3	Sex	0.4885[0.499868]	1[0]	0[0]
3	Signal0	0.99375[0.0555512]	0.993859[0.0550719]	0.993646[0.056005]
