id	pop	sex	FatherId	MotherId	Fitness0	Hybridindex	Pref0	Pref1	Sex	Signal0	
73408	1	1	71257	71233	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73409	1	1	71180	71233	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73410	1	1	71010	71233	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73411	1	1	71219	70896	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73416	1	1	71219	71194	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73418	1	1	71128	71124	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73420	1	1	71394	71124	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73426	1	1	71359	71060	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73428	1	1	71394	71212	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73429	1	1	71398	71212	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73430	1	1	71102	71296	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73432	1	1	71343	71296	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73433	1	1	71373	71389	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73435	1	1	71397	71191	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73439	1	1	71359	71396	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73442	1	1	71169	71223	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73445	1	1	70999	71208	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73451	1	1	71142	71080	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73453	1	1	70995	71388	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73455	1	1	71228	71237	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73456	1	1	71205	71159	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73466	1	1	70930	71167	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73468	1	1	71312	71012	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73470	1	1	70999	71012	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73471	1	1	71271	71012	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73472	1	1	70993	71012	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73473	1	1	71382	71226	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73474	1	1	71375	71325	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73475	1	1	71072	71325	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73476	1	1	71066	71325	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73479	1	1	71040	71393	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73483	1	1	71016	71304	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73485	1	1	71297	71285	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73486	1	1	71165	71350	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73487	1	1	71364	71350	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73488	1	1	71055	71384	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73490	1	1	71006	71384	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73491	1	1	70951	71002	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73493	1	1	71222	71309	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73494	1	1	71401	71045	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
73495	1	1	71240	71045	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
