id	pop	sex	FatherId	MotherId	Fitness0	Hybridindex	Pref0	Pref1	Sex	Signal0	
59544	3	1	59248	59277	10.000000	17.000000	0.500000	1.000000	1.000000	1.000000	
59545	3	1	59132	59277	5.500000	17.000000	1.000000	1.000000	1.000000	1.000000	
59546	3	1	58333	59054	10.000000	17.500000	1.000000	0.000000	1.000000	1.000000	
59551	3	1	57556	57564	11.000000	18.000000	0.000000	1.000000	1.000000	1.000000	
59552	3	1	58122	58902	11.000000	17.000000	1.000000	1.000000	1.000000	1.000000	
59554	3	1	58804	58902	0.500000	17.000000	1.000000	0.500000	1.000000	1.000000	
59555	3	1	59302	58902	6.000000	15.000000	1.000000	0.500000	1.000000	1.000000	
59557	3	1	58893	58456	10.500000	16.000000	1.000000	0.500000	1.000000	1.000000	
59560	3	1	59065	57726	10.500000	15.500000	1.000000	0.500000	1.000000	1.000000	
59561	3	1	59524	59101	11.000000	15.500000	1.000000	1.000000	1.000000	1.000000	
59563	3	1	57877	59101	10.500000	14.000000	0.500000	1.000000	1.000000	1.000000	
59565	3	1	59538	57865	10.500000	16.500000	0.500000	0.500000	1.000000	1.000000	
59569	3	1	58137	59393	10.500000	16.000000	1.000000	0.500000	1.000000	1.000000	
59570	3	1	58452	58149	11.000000	19.000000	1.000000	1.000000	1.000000	1.000000	
59573	3	1	58708	58670	10.500000	16.500000	1.000000	0.500000	1.000000	1.000000	
59574	3	1	59483	58670	10.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
59575	3	1	58355	58670	5.500000	18.000000	1.000000	1.000000	1.000000	1.000000	
59576	3	1	59264	58670	11.000000	19.000000	1.000000	1.000000	1.000000	1.000000	
59577	3	1	59046	58670	10.500000	18.500000	1.000000	1.000000	1.000000	1.000000	
59579	3	1	58239	58477	10.500000	15.000000	0.500000	0.500000	1.000000	1.000000	
59580	3	1	58381	58477	11.000000	17.000000	0.500000	1.000000	1.000000	1.000000	
59581	3	1	57695	57822	5.000000	18.500000	1.000000	1.000000	1.000000	1.000000	
59582	3	1	57785	57760	10.000000	15.000000	1.000000	0.500000	1.000000	1.000000	
59584	3	1	57967	57613	10.500000	16.000000	1.000000	1.000000	1.000000	1.000000	
59585	3	1	58592	57613	11.000000	14.500000	1.000000	1.000000	1.000000	1.000000	
59586	3	1	58610	59148	11.000000	20.000000	1.000000	1.000000	1.000000	1.000000	
59587	3	1	57580	59148	11.000000	18.500000	1.000000	1.000000	1.000000	1.000000	
59589	3	1	59161	57725	10.500000	18.000000	1.000000	1.000000	1.000000	1.000000	
59590	3	1	59189	57725	10.500000	17.500000	0.500000	1.000000	1.000000	1.000000	
59592	3	1	58742	58275	10.000000	16.000000	0.500000	1.000000	1.000000	1.000000	
59593	3	1	59184	58275	10.500000	17.000000	1.000000	0.500000	1.000000	1.000000	
59597	3	1	59098	58365	6.000000	18.000000	0.500000	1.000000	1.000000	1.000000	
59599	3	1	58408	59023	11.000000	17.500000	1.000000	1.000000	1.000000	1.000000	
59601	3	1	58154	59341	10.500000	17.000000	0.500000	0.500000	1.000000	1.000000	
59602	3	1	58039	59341	10.000000	14.500000	1.000000	1.000000	1.000000	1.000000	
59603	3	1	58154	59341	10.500000	15.500000	1.000000	0.500000	1.000000	1.000000	
59604	3	1	58110	58278	10.500000	18.000000	1.000000	0.500000	1.000000	1.000000	
59608	3	1	57801	59301	5.500000	17.000000	0.500000	0.500000	1.000000	1.000000	
59609	3	1	59292	59350	10.500000	17.500000	1.000000	1.000000	1.000000	1.000000	
59613	3	1	59217	57579	10.500000	17.500000	1.000000	1.000000	1.000000	1.000000	
59614	3	1	59424	57545	10.500000	18.500000	1.000000	0.500000	1.000000	1.000000	
59617	3	1	58901	59200	10.500000	17.000000	1.000000	0.500000	1.000000	1.000000	
59618	3	1	58021	59200	11.000000	17.500000	1.000000	1.000000	1.000000	1.000000	
