id	pop	sex	FatherId	MotherId	Fitness0	Hybridindex	Pref0	Pref1	Sex	Signal0	
139572	3	1	138964	139029	11.000000	18.000000	0.500000	1.000000	1.000000	1.000000	
139573	3	1	138758	139029	6.000000	17.000000	1.000000	1.000000	1.000000	1.000000	
139574	3	1	138583	139029	11.000000	17.500000	1.000000	1.000000	1.000000	1.000000	
139575	3	1	138446	137588	11.000000	17.000000	1.000000	1.000000	1.000000	1.000000	
139578	3	1	139127	137588	11.000000	16.500000	1.000000	0.500000	1.000000	1.000000	
139580	3	1	138022	138823	10.500000	16.000000	1.000000	1.000000	1.000000	1.000000	
139582	3	1	139466	138823	11.000000	17.000000	1.000000	1.000000	1.000000	1.000000	
139583	3	1	138009	138181	11.000000	17.500000	0.500000	1.000000	1.000000	1.000000	
139585	3	1	137906	138181	11.000000	18.500000	1.000000	1.000000	1.000000	1.000000	
139586	3	1	137854	138935	11.000000	18.000000	1.000000	0.500000	1.000000	1.000000	
139591	3	1	138527	137604	11.000000	17.500000	1.000000	0.500000	1.000000	1.000000	
139597	3	1	138073	138270	10.500000	17.500000	0.500000	0.500000	1.000000	1.000000	
139602	3	1	138835	137614	11.000000	14.500000	0.500000	0.500000	1.000000	1.000000	
139607	3	1	138375	137755	11.000000	18.000000	0.500000	0.000000	1.000000	1.000000	
139608	3	1	137674	137709	6.000000	19.500000	0.500000	1.000000	1.000000	1.000000	
139609	3	1	138832	137709	6.000000	18.500000	1.000000	1.000000	1.000000	1.000000	
139612	3	1	138550	137936	11.000000	17.000000	1.000000	1.000000	1.000000	1.000000	
139616	3	1	138746	138300	11.000000	15.500000	1.000000	0.500000	1.000000	1.000000	
139618	3	1	137603	139118	10.500000	18.000000	0.500000	0.500000	1.000000	1.000000	
139620	3	1	139292	139118	11.000000	19.000000	1.000000	1.000000	1.000000	1.000000	
139621	3	1	139426	139118	11.000000	18.500000	0.500000	0.500000	1.000000	1.000000	
139622	3	1	139285	138616	6.000000	15.500000	1.000000	0.500000	1.000000	1.000000	
139623	3	1	138496	138123	11.000000	17.500000	1.000000	1.000000	1.000000	1.000000	
139624	3	1	139040	138853	11.000000	17.500000	1.000000	0.000000	1.000000	1.000000	
139626	3	1	138880	138853	10.500000	18.500000	0.500000	1.000000	1.000000	1.000000	
139629	3	1	138752	139221	5.500000	17.000000	1.000000	0.500000	1.000000	1.000000	
139630	3	1	138325	139221	11.000000	15.500000	1.000000	0.500000	1.000000	1.000000	
139631	3	1	137942	137772	11.000000	16.000000	1.000000	0.000000	1.000000	1.000000	
139632	3	1	138237	137886	10.500000	14.000000	1.000000	0.500000	1.000000	1.000000	
139635	3	1	137791	137776	10.500000	16.000000	1.000000	0.500000	1.000000	1.000000	
139636	3	1	139059	138117	11.000000	18.500000	0.500000	1.000000	1.000000	1.000000	
139640	3	1	138457	138690	11.000000	18.000000	1.000000	0.000000	1.000000	1.000000	
139641	3	1	138488	138690	11.000000	16.500000	1.000000	0.500000	1.000000	1.000000	
139642	3	1	139218	138644	10.000000	16.000000	1.000000	1.000000	1.000000	1.000000	
139643	3	1	139364	138644	10.500000	17.500000	0.500000	0.500000	1.000000	1.000000	
139644	3	1	138560	138756	11.000000	17.000000	0.500000	1.000000	1.000000	1.000000	
139645	3	1	137862	138756	11.000000	16.000000	0.500000	1.000000	1.000000	1.000000	
139647	3	1	138177	139153	10.500000	16.000000	0.500000	0.500000	1.000000	1.000000	
139649	3	1	138580	139531	10.000000	17.500000	1.000000	0.500000	1.000000	1.000000	
139656	3	1	138614	138132	11.000000	18.000000	1.000000	1.000000	1.000000	1.000000	
139657	3	1	138372	137596	1.000000	15.000000	0.500000	1.000000	1.000000	1.000000	
139660	3	1	139489	137640	11.000000	15.500000	1.000000	0.500000	1.000000	1.000000	
139662	3	1	139536	137640	6.000000	17.000000	1.000000	0.000000	1.000000	1.000000	
139665	3	1	138973	139057	6.000000	18.500000	1.000000	1.000000	1.000000	1.000000	
139666	3	1	139079	137879	11.000000	15.000000	1.000000	0.500000	1.000000	1.000000	
139668	3	1	138846	137653	10.500000	16.500000	0.500000	1.000000	1.000000	1.000000	
139669	3	1	137888	137653	10.500000	17.500000	1.000000	0.500000	1.000000	1.000000	
139670	3	1	138925	137653	10.500000	13.500000	1.000000	1.000000	1.000000	1.000000	
139671	3	1	138857	137650	10.500000	17.000000	1.000000	1.000000	1.000000	1.000000	
139672	3	1	139414	137650	10.500000	17.500000	0.500000	1.000000	1.000000	1.000000	
139677	3	1	137831	137601	6.000000	18.500000	1.000000	0.000000	1.000000	1.000000	
139678	3	1	137598	139103	5.500000	16.000000	0.500000	1.000000	1.000000	1.000000	
139679	3	1	137611	139103	11.000000	16.000000	0.500000	1.000000	1.000000	1.000000	
139680	3	1	138627	139103	11.000000	17.500000	1.000000	1.000000	1.000000	1.000000	
139681	3	1	137796	139103	6.000000	18.500000	1.000000	1.000000	1.000000	1.000000	
139684	3	1	137821	138489	10.500000	18.000000	0.500000	1.000000	1.000000	1.000000	
139685	3	1	138458	137679	11.000000	18.500000	0.500000	1.000000	1.000000	1.000000	
139687	3	1	137883	137733	11.000000	15.500000	0.500000	1.000000	1.000000	1.000000	
139688	3	1	138111	137733	10.500000	17.000000	1.000000	1.000000	1.000000	1.000000	
139689	3	1	139542	137733	11.000000	16.500000	1.000000	0.500000	1.000000	1.000000	
139691	3	1	139477	139068	6.000000	15.000000	1.000000	1.000000	1.000000	1.000000	
139699	3	1	138208	139554	6.000000	18.000000	1.000000	0.500000	1.000000	1.000000	
139700	3	1	139127	139554	5.500000	16.000000	1.000000	1.000000	1.000000	1.000000	
139702	3	1	137921	138890	10.500000	17.000000	1.000000	1.000000	1.000000	1.000000	
139704	3	1	138394	139214	11.000000	16.500000	1.000000	0.500000	1.000000	1.000000	
139705	3	1	138859	138541	11.000000	18.500000	0.500000	0.000000	1.000000	1.000000	
139706	3	1	137647	138541	11.000000	16.000000	0.500000	1.000000	1.000000	1.000000	
139707	3	1	138832	139436	6.000000	17.500000	1.000000	0.500000	1.000000	1.000000	
139708	3	1	138558	139436	6.000000	17.000000	1.000000	0.500000	1.000000	1.000000	
139709	3	1	138832	139436	11.000000	16.500000	1.000000	0.500000	1.000000	1.000000	
139711	3	1	138453	138278	11.000000	16.000000	1.000000	0.500000	1.000000	1.000000	
139718	3	1	138959	138131	1.000000	16.000000	1.000000	0.500000	1.000000	1.000000	
139720	3	1	138426	137877	10.500000	18.000000	1.000000	0.500000	1.000000	1.000000	
139721	3	1	137786	137808	10.500000	15.000000	1.000000	1.000000	1.000000	1.000000	
139723	3	1	137715	137729	6.000000	19.000000	1.000000	0.500000	1.000000	1.000000	
139724	3	1	138588	137729	6.000000	18.000000	1.000000	0.500000	1.000000	1.000000	
139726	3	1	137694	137754	11.000000	17.000000	0.500000	1.000000	1.000000	1.000000	
139727	3	1	137838	137754	10.500000	16.500000	1.000000	0.500000	1.000000	1.000000	
139730	3	1	139247	137782	11.000000	17.000000	1.000000	0.500000	1.000000	1.000000	
139731	3	1	138408	137782	11.000000	17.000000	0.500000	0.500000	1.000000	1.000000	
139732	3	1	137856	139431	6.000000	17.000000	0.500000	1.000000	1.000000	1.000000	
139733	3	1	139127	138245	5.500000	17.000000	1.000000	1.000000	1.000000	1.000000	
139734	3	1	139404	138245	10.500000	18.000000	0.500000	0.500000	1.000000	1.000000	
139738	3	1	138070	138700	5.500000	17.000000	0.000000	1.000000	1.000000	1.000000	
139740	3	1	138790	138700	10.500000	15.000000	0.500000	1.000000	1.000000	1.000000	
139745	3	1	139036	139305	11.000000	18.500000	1.000000	1.000000	1.000000	1.000000	
139747	3	1	138930	138315	11.000000	17.500000	1.000000	0.500000	1.000000	1.000000	
139748	3	1	139075	138315	6.000000	17.500000	1.000000	1.000000	1.000000	1.000000	
139751	3	1	137718	139113	11.000000	17.500000	1.000000	1.000000	1.000000	1.000000	
139752	3	1	138320	139113	11.000000	18.500000	1.000000	1.000000	1.000000	1.000000	
139753	3	1	137975	139113	11.000000	19.000000	1.000000	1.000000	1.000000	1.000000	
139754	3	1	139281	139113	11.000000	17.500000	1.000000	1.000000	1.000000	1.000000	
139755	3	1	138655	139113	11.000000	17.500000	1.000000	1.000000	1.000000	1.000000	
139756	3	1	138758	139113	11.000000	17.500000	1.000000	1.000000	1.000000	1.000000	
