id	pop	sex	FatherId	MotherId	Fitness0	Hybridindex	Pref0	Pref1	Sex	Signal0	
74022	1	1	71882	71974	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74024	1	1	71727	71902	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74027	1	1	71975	71896	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74028	1	1	71825	71619	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74030	1	1	71541	71702	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74033	1	1	72004	71544	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74034	1	1	71708	71833	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74035	1	1	71640	71833	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74037	1	1	71784	71516	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74038	1	1	71752	71516	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74040	1	1	71915	71583	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74041	1	1	71646	71572	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74042	1	1	71958	71572	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74043	1	1	71863	71836	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74044	1	1	71856	71534	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74045	1	1	71943	71600	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74046	1	1	71765	71600	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74049	1	1	71794	71835	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74050	1	1	71993	71835	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74051	1	1	71739	71847	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74052	1	1	71820	71847	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74054	1	1	72012	71592	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74057	1	1	71905	71695	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74059	1	1	71683	71540	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74060	1	1	71994	71540	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74063	1	1	71872	71997	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74068	1	1	71599	71698	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74069	1	1	71630	71698	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74071	1	1	72017	71606	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74072	1	1	71923	71606	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74073	1	1	71803	71851	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74076	1	1	71900	71851	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74078	1	1	71697	71603	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74079	1	1	71576	71603	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74084	1	1	71907	71518	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74087	1	1	71672	71810	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74088	1	1	71891	71733	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74089	1	1	71560	71987	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74091	1	1	71768	71674	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74093	1	1	71584	71674	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74095	1	1	71638	71828	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74098	1	1	71561	71917	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74099	1	1	71511	71726	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74101	1	1	71531	71512	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74104	1	1	71677	71781	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74105	1	1	71945	71670	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
74106	1	1	71868	71670	11.000000	20.000000	16.000000	1.000000	1.000000	16.000000	
