X2,X3,X4,X5,Generation,Iter
Pref0,0.66175[0.467399],0.649357[0.473791],0.674419[0.460429],24,0
Signal0,0.66175[0.467399],0.649357[0.473791],0.674419[0.460429],24,0
Hybridindex,13.102[8.16873],13.1408[8.12368],13.0622[8.21442],25,0
Pref0,0.658[0.467478],0.663043[0.464764],0.652834[0.470186],25,0
Signal0,0.658[0.467478],0.663043[0.464764],0.652834[0.470186],25,0
Hybridindex,12.9403[8.15842],13.2032[8.02675],12.6699[8.28295],26,0
Pref0,0.65325[0.470786],0.671105[0.46533],0.634888[0.475633],26,0
Signal0,0.65325[0.470786],0.671105[0.46533],0.634888[0.475633],26,0
Hybridindex,12.7918[8.16195],12.6391[8.205],12.9532[8.11305],27,0
Pref0,0.64575[0.474481],0.637646[0.47738],0.654321[0.471243],27,0
Signal0,0.64575[0.474481],0.637646[0.47738],0.654321[0.471243],27,0
Hybridindex,13.2073[7.94885],13.3721[7.88807],13.0499[8.0033],28,0
Pref0,0.67075[0.466068],0.678608[0.46316],0.663245[0.468706],28,0
Signal0,0.67075[0.466068],0.678608[0.46316],0.663245[0.468706],28,0
Hybridindex,13.2952[7.85598],13.3249[7.91519],13.2665[7.79798],29,0
Pref0,0.6795[0.463443],0.679188[0.463515],0.679803[0.463374],29,0
Signal0,0.6795[0.463443],0.679188[0.463515],0.679803[0.463374],29,0
Hybridindex,13.402[7.73994],13.5076[7.67655],13.2999[7.79935],30,0
Pref0,0.6865[0.459856],0.693795[0.455923],0.679449[0.463517],30,0
Signal0,0.6865[0.459856],0.693795[0.455923],0.679449[0.463517],30,0
Hybridindex,13.2718[7.82146],13.3382[7.7644],13.206[7.877],31,0
Pref0,0.679[0.464445],0.68392[0.462507],0.674129[0.466305],31,0
Signal0,0.679[0.464445],0.68392[0.462507],0.674129[0.466305],31,0
Hybridindex,13.169[7.78949],12.9174[7.83023],13.4022[7.74425],32,0
Pref0,0.676[0.464246],0.661123[0.469469],0.689788[0.458921],32,0
Signal0,0.676[0.464246],0.661123[0.469469],0.689788[0.458921],32,0
Hybridindex,13.2812[7.69578],13.2354[7.76669],13.328[7.62262],33,0
Pref0,0.683[0.460989],0.67889[0.463173],0.687185[0.458717],33,0
Signal0,0.683[0.460989],0.67889[0.463173],0.687185[0.458717],33,0
Hybridindex,13.6113[7.48691],13.3879[7.56767],13.8245[7.40266],34,0
Pref0,0.70325[0.452288],0.694473[0.455884],0.711632[0.448667],34,0
Signal0,0.70325[0.452288],0.694473[0.455884],0.711632[0.448667],34,0
Hybridindex,13.8697[7.34145],13.6576[7.41589],14.0968[7.25406],35,0
Pref0,0.71625[0.447058],0.706963[0.451957],0.72619[0.441538],35,0
Signal0,0.71625[0.447058],0.706963[0.451957],0.72619[0.441538],35,0
Hybridindex,14.0452[7.22546],14.0626[7.18097],14.0282[7.26878],36,0
Pref0,0.72675[0.442391],0.730808[0.439249],0.722772[0.445413],36,0
Signal0,0.72675[0.442391],0.730808[0.439249],0.722772[0.445413],36,0
Hybridindex,13.9627[7.24971],13.8004[7.33607],14.129[7.15635],37,0
Pref0,0.721[0.445431],0.711957[0.45039],0.730263[0.440102],37,0
Signal0,0.721[0.445431],0.711957[0.45039],0.730263[0.440102],37,0
Hybridindex,14.131[7.11184],14.0776[7.17415],14.1829[7.05035],38,0
Pref0,0.73175[0.438083],0.726673[0.44138],0.736686[0.434797],38,0
Signal0,0.73175[0.438083],0.726673[0.44138],0.736686[0.434797],38,0
Hybridindex,14.1502[7.14157],14.3092[7.08843],13.9935[7.19015],39,0
Pref0,0.732[0.439802],0.742195[0.434539],0.721946[0.444703],39,0
Signal0,0.732[0.439802],0.742195[0.434539],0.721946[0.444703],39,0
Hybridindex,14.3343[7.03746],14.1795[7.07922],14.4847[6.99334],40,0
Pref0,0.7415[0.433506],0.732759[0.437622],0.75[0.429296],40,0
Signal0,0.7415[0.433506],0.732759[0.437622],0.75[0.429296],40,0
Hybridindex,14.676[6.78239],14.6213[6.82264],14.7291[6.74267],41,0
Pref0,0.76575[0.418332],0.758883[0.423288],0.772414[0.413358],41,0
Signal0,0.76575[0.418332],0.758883[0.423288],0.772414[0.413358],41,0
Hybridindex,14.821[6.62523],14.7821[6.65549],14.8614[6.59342],42,0
Pref0,0.773[0.413486],0.770363[0.416496],0.775739[0.410319],42,0
Signal0,0.773[0.413486],0.770363[0.416496],0.775739[0.410319],42,0
Hybridindex,14.948[6.47758],14.9213[6.44265],14.9739[6.51119],43,0
Pref0,0.7805[0.407823],0.777665[0.407803],0.783251[0.407824],43,0
Signal0,0.7805[0.407823],0.777665[0.407803],0.783251[0.407824],43,0
Hybridindex,15.0845[6.33077],15.0449[6.36634],15.1217[6.29693],44,0
Pref0,0.78875[0.403111],0.787926[0.402737],0.789525[0.403461],44,0
Signal0,0.78875[0.403111],0.787926[0.402737],0.789525[0.403461],44,0
Hybridindex,15.1613[6.27936],15.0839[6.32517],15.2406[6.231],45,0
Pref0,0.79125[0.398495],0.786278[0.402337],0.796353[0.394448],45,0
Signal0,0.79125[0.398495],0.786278[0.402337],0.796353[0.394448],45,0
Hybridindex,15.127[6.25025],15.457[5.99719],14.789[6.48185],46,0
Pref0,0.78875[0.401246],0.806324[0.388241],0.770749[0.41337],46,0
Signal0,0.78875[0.401246],0.806324[0.388241],0.770749[0.41337],46,0
Hybridindex,14.898[6.29314],14.8269[6.31565],14.9698[6.2695],47,0
Pref0,0.77225[0.41171],0.768657[0.414252],0.775879[0.409094],47,0
Signal0,0.77225[0.41171],0.768657[0.414252],0.775879[0.409094],47,0
Hybridindex,14.8663[6.23269],15.0443[6.0622],14.6867[6.39495],48,0
Pref0,0.77325[0.408913],0.783367[0.400612],0.763052[0.416864],48,0
Signal0,0.77325[0.408913],0.783367[0.400612],0.763052[0.416864],48,0
Hybridindex,14.7063[6.25732],14.6412[6.26628],14.7725[6.2475],49,0
Pref0,0.76725[0.415575],0.764123[0.416295],0.770434[0.414816],49,0
Signal0,0.76725[0.415575],0.764123[0.416295],0.770434[0.414816],49,0
Hybridindex,14.5633[6.30304],14.6258[6.2974],14.5015[6.30801],50,0
Pref0,0.7575[0.423017],0.756036[0.424464],0.758946[0.421578],50,0
Signal0,0.7575[0.423017],0.756036[0.424464],0.758946[0.421578],50,0
Hybridindex,14.6148[6.18096],14.6432[6.17694],14.5879[6.18462],51,0
Pref0,0.76125[0.42086],0.760041[0.420986],0.762391[0.420739],51,0
Signal0,0.76125[0.42086],0.760041[0.420986],0.762391[0.420739],51,0
Hybridindex,14.7625[6.05562],14.697[6.08893],14.8286[6.02107],52,0
Pref0,0.776[0.413006],0.770647[0.416553],0.781407[0.409321],52,0
Signal0,0.776[0.413006],0.770647[0.416553],0.781407[0.409321],52,0
Hybridindex,14.629[6.08647],14.6346[5.99717],14.6235[6.17309],53,0
Pref0,0.76625[0.418612],0.767641[0.417234],0.764881[0.419959],53,0
Signal0,0.76625[0.418612],0.767641[0.417234],0.764881[0.419959],53,0
Hybridindex,14.8095[5.91791],14.7454[5.89681],14.8701[5.93716],54,0
Pref0,0.78375[0.406338],0.778807[0.407546],0.788424[0.405138],54,0
Signal0,0.78375[0.406338],0.778807[0.407546],0.788424[0.405138],54,0
Hybridindex,15.0877[5.7056],14.8506[5.82479],15.3301[5.57071],55,0
Pref0,0.80475[0.391475],0.790801[0.400919],0.819009[0.381051],55,0
Signal0,0.80475[0.391475],0.790801[0.400919],0.819009[0.381051],55,0
Hybridindex,15.453[5.31399],15.6036[5.17408],15.3056[5.44336],56,0
Pref0,0.8305[0.372182],0.840243[0.362218],0.820969[0.381438],56,0
Signal0,0.8305[0.372182],0.840243[0.362218],0.820969[0.381438],56,0
Hybridindex,15.439[5.29259],15.6948[5.03624],15.1505[5.55341],57,0
Pref0,0.83175[0.369888],0.851887[0.351206],0.809043[0.388633],57,0
Signal0,0.83175[0.369888],0.851887[0.351206],0.809043[0.388633],57,0
Hybridindex,15.3812[5.31613],15.3431[5.32359],15.4182[5.30862],58,0
Pref0,0.8275[0.372147],0.825381[0.373576],0.829557[0.370745],58,0
Signal0,0.8275[0.372147],0.825381[0.373576],0.829557[0.370745],58,0
Hybridindex,15.5102[5.18221],15.5296[5.1585],15.4904[5.2064],59,0
Pref0,0.83425[0.365584],0.835799[0.364757],0.832657[0.366426],59,0
Signal0,0.83425[0.365584],0.835799[0.364757],0.832657[0.366426],59,0
Hybridindex,15.6662[5.067],15.7371[5.02171],15.5943[5.1116],60,0
Pref0,0.8465[0.354877],0.849702[0.352823],0.843246[0.356923],60,0
Signal0,0.8465[0.354877],0.849702[0.352823],0.843246[0.356923],60,0
Hybridindex,15.7622[4.99258],15.8172[4.94309],15.7072[5.04108],61,0
Pref0,0.8515[0.349568],0.854645[0.347103],0.848348[0.351992],61,0
Signal0,0.8515[0.349568],0.854645[0.347103],0.848348[0.351992],61,0
Hybridindex,15.698[5.02136],15.8657[4.93681],15.5359[5.09651],62,0
Pref0,0.84475[0.356402],0.854527[0.346759],0.8353[0.365233],62,0
Signal0,0.84475[0.356402],0.854527[0.346759],0.8353[0.365233],62,0
