X1,X2,X3,X4,X5,Generation,Iter
3,Hybridindex,6.57775[1.7962],6.5115[1.8107],6.644[1.77912],23,0
3,Pref0,0[0],0[0],0[0],23,0
3,Signal0,0[0],0[0],0[0],23,0
3,Hybridindex,6.61275[1.80884],6.61712[1.86448],6.60839[1.75155],24,0
3,Pref0,0[0],0[0],0[0],24,0
3,Signal0,0[0],0[0],0[0],24,0
3,Hybridindex,6.58875[1.78627],6.5[1.77301],6.68318[1.79546],25,0
3,Pref0,0[0],0[0],0[0],25,0
3,Signal0,0[0],0[0],0[0],25,0
3,Hybridindex,6.5615[1.71274],6.562[1.69262],6.56099[1.73294],26,0
3,Pref0,0[0],0[0],0[0],26,0
3,Signal0,0[0],0[0],0[0],26,0
3,Hybridindex,6.596[1.7304],6.58991[1.72943],6.6021[1.73135],27,0
3,Pref0,0[0],0[0],0[0],27,0
3,Signal0,0[0],0[0],0[0],27,0
3,Hybridindex,6.5805[1.73249],6.59639[1.77286],6.56553[1.69346],28,0
3,Pref0,0[0],0[0],0[0],28,0
3,Signal0,0[0],0[0],0[0],28,0
3,Hybridindex,6.655[1.7633],6.67164[1.72907],6.63819[1.79705],29,0
3,Pref0,0[0],0[0],0[0],29,0
3,Signal0,0[0],0[0],0[0],29,0
3,Hybridindex,6.693[1.74485],6.67048[1.69273],6.71579[1.79578],30,0
3,Pref0,0[0],0[0],0[0],30,0
3,Signal0,0[0],0[0],0[0],30,0
3,Hybridindex,6.738[1.77316],6.77273[1.75142],6.7032[1.79401],31,0
3,Pref0,0[0],0[0],0[0],31,0
3,Signal0,0[0],0[0],0[0],31,0
3,Hybridindex,6.774[1.81664],6.7942[1.7718],6.75233[1.86328],32,0
3,Pref0,0[0],0[0],0[0],32,0
3,Signal0,0[0],0[0],0[0],32,0
3,Hybridindex,6.7835[1.74467],6.71976[1.76208],6.84623[1.72507],33,0
3,Pref0,0[0],0[0],0[0],33,0
3,Signal0,0[0],0[0],0[0],33,0
3,Hybridindex,6.79275[1.75511],6.85579[1.77766],6.72946[1.72987],34,0
3,Pref0,0[0],0[0],0[0],34,0
3,Signal0,0[0],0[0],0[0],34,0
3,Hybridindex,6.8305[1.78045],6.816[1.76537],6.84557[1.79586],35,0
3,Pref0,0[0],0[0],0[0],35,0
3,Signal0,0[0],0[0],0[0],35,0
3,Hybridindex,6.9045[1.78763],6.89939[1.79257],6.9094[1.78287],36,0
3,Pref0,0[0],0[0],0[0],36,0
3,Signal0,0[0],0[0],0[0],36,0
3,Hybridindex,6.886[1.79882],6.92089[1.80419],6.85334[1.79316],37,0
3,Pref0,0[0],0[0],0[0],37,0
3,Signal0,0[0],0[0],0[0],37,0
3,Hybridindex,6.90775[1.79042],6.91535[1.74837],6.8999[1.83279],38,0
3,Pref0,0[0],0[0],0[0],38,0
3,Signal0,0[0],0[0],0[0],38,0
3,Hybridindex,6.90325[1.77031],6.88641[1.78159],6.91892[1.75961],39,0
3,Pref0,0[0],0[0],0[0],39,0
3,Signal0,0[0],0[0],0[0],39,0
3,Hybridindex,6.935[1.73602],6.98276[1.73355],6.89118[1.73714],40,0
3,Pref0,0[0],0[0],0[0],40,0
3,Signal0,0[0],0[0],0[0],40,0
3,Hybridindex,6.90825[1.72132],6.88636[1.73888],6.9297[1.70367],41,0
3,Pref0,0[0],0[0],0[0],41,0
3,Signal0,0[0],0[0],0[0],41,0
3,Hybridindex,6.90575[1.74341],6.92335[1.79779],6.88911[1.69023],42,0
3,Pref0,0[0],0[0],0[0],42,0
3,Signal0,0[0],0[0],0[0],42,0
3,Hybridindex,6.90575[1.7696],6.87792[1.80956],6.93265[1.72968],43,0
3,Pref0,0[0],0[0],0[0],43,0
3,Signal0,0[0],0[0],0[0],43,0
3,Hybridindex,6.82975[1.78498],6.81743[1.80028],6.84275[1.76859],44,0
3,Pref0,0[0],0[0],0[0],44,0
3,Signal0,0[0],0[0],0[0],44,0
